
2023-10-15 22:10:18.493 [restartedMain] INFO  inventarios.com.Sistema.Inventarios.SistemaInventariosApplication - Starting SistemaInventariosApplication using Java 11.0.18 on Andres_Portatil with PID 26452 (C:\Users\agonz\OneDrive\Documentos\Sistema-Inventarios\build\classes\java\main started by agonz in C:\Users\agonz\OneDrive\Documentos\Sistema-Inventarios)
2023-10-15 22:10:18.502 [restartedMain] INFO  inventarios.com.Sistema.Inventarios.SistemaInventariosApplication - No active profile set, falling back to 1 default profile: "default"
2023-10-15 22:10:18.544 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-10-15 22:10:18.544 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-10-15 22:10:19.307 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-10-15 22:10:19.380 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 64 ms. Found 7 JPA repository interfaces.
2023-10-15 22:10:20.333 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-10-15 22:10:20.431 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1886 ms
2023-10-15 22:10:20.572 [restartedMain] INFO  org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:inventorySystem'
2023-10-15 22:10:20.789 [restartedMain] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-10-15 22:10:20.833 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2023-10-15 22:10:20.963 [restartedMain] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-10-15 22:10:21.069 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2023-10-15 22:10:21.753 [restartedMain] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-10-15 22:10:21.762 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
